x,y,Temp(c),R,G,B
1,74,29.992328643010126,0,0,0
1,75,30.050297552561346,0,0,0
1,76,29.863402625209915,0,0,0
1,77,29.37861766080789,0,0,0
1,78,29.268443185730177,0,0,0
1,79,29.307340586252963,0,0,0
2,0,29.307340586252963,0,0,0
2,1,29.417477093285697,0,0,0
2,2,29.618038058165723,0,0,0
2,3,29.495155847596664,0,0,0
2,4,29.740786843357853,0,0,0
2,5,29.008783410096783,0,0,0
2,6,28.618166056373013,0,0,0
2,7,28.911256329184027,0,0,0
2,8,29.171140914539535,0,0,0
2,9,29.106226009957595,0,0,0
2,10,29.034776354950452,0,0,0
2,11,29.216559097261552,0,0,0
2,12,29.15816092679364,0,0,0
2,13,28.552930783399006,0,0,0
2,14,29.359182924859397,0,0,0
2,15,29.708497443716453,0,0,0
2,16,29.372139787467347,0,0,0
2,17,29.508097112918108,0,0,0
2,18,29.83759980846162,0,0,0
2,19,29.22304591475563,0,0,0
2,20,28.448475291930436,0,0,0
2,21,28.631208557337004,0,0,0
2,22,28.833173694356844,0,0,0
2,23,28.81364455327781,0,0,0
2,24,29.611573903494786,0,0,0
2,25,30.26902439670198,0,0,0
2,26,29.22304591475563,0,0,0
2,27,29.346224573932943,0,0,0
2,28,29.527506231180553,0,0,0
2,29,28.8657147199645,0,0,0
2,30,29.067259094083227,0,0,0
2,31,29.605109379163252,0,0,0
2,32,28.820154644262402,0,0,0
2,33,28.663808175411816,0,0,0
2,34,30.01809626066637,0,0,0
2,35,30.217597143510034,0,0,0
2,36,29.643890981477227,0,0,0
2,37,29.88919956569157,0,0,0
2,38,29.76661173096562,0,0,0
2,39,29.721414309353634,0,0,0
2,40,29.546912015265775,0,0,0
2,41,29.566314466845085,0,0,0
2,42,31.101478819313456,0,0,0
2,43,29.727872189220534,0,0,0
2,44,28.631208557337004,0,0,0
2,45,28.147621556414094,0,0,0
2,46,29.76015606149366,0,0,0
2,47,31.394592785224575,0,0,0
2,48,29.863402625209915,0,0,0
2,49,29.792430727621877,0,0,0
2,50,30.030977874417033,0,0,0
2,51,30.79481804187185,0,0,0
2,52,30.49374553781672,0,0,0
2,53,30.41032949628135,0,0,0
2,54,29.98588582362646,0,0,0
2,55,29.624501843237738,0,0,0
2,56,29.605109379163252,0,0,0
2,57,30.16614659863268,0,0,0
2,58,30.51298671616553,0,0,0
2,59,30.43600248293194,0,0,0
2,60,30.307579569945744,0,0,0
2,61,30.358966136712525,0,0,0
2,62,31.012121053856333,0,0,0
2,63,31.171639564853933,0,0,0
2,64,30.570690753855786,0,0,0
2,65,30.67320360807338,0,0,0
2,66,32.351548586104286,0,0,0
2,67,30.108236856394853,0,0,0
2,68,29.676198825651966,0,0,0
2,69,30.01809626066637,0,0,0
2,70,30.127543386253365,0,0,0
2,71,30.839590707373247,0,0,0
2,72,30.686011235292654,0,0,0
2,73,29.68911937958029,0,0,0
2,74,29.83759980846162,0,0,0
2,75,30.030977874417033,0,0,0
2,76,29.572781210436574,0,0,0
2,77,29.39157229187333,0,0,0
2,78,29.287893563440605,0,0,0
2,79,29.3397448401945,0,0,0
3,0,28.676845370256217,0,0,0
3,1,28.80713408491664,0,0,0
3,2,28.565980875464163,0,0,0
3,3,29.773067032253152,0,0,0
3,4,29.81824383724836,0,0,0
3,5,29.940775833474845,0,0,0
3,6,29.856952472075477,0,0,0
3,7,29.624501843237738,0,0,0
3,8,29.352703935467105,0,0,0
3,9,29.274927017837683,0,0,0
3,10,29.63742830483187,0,0,0
3,11,29.676198825651966,0,0,0
3,12,29.21007190631218,0,0,0
3,13,29.21007190631218,0,0,0
3,14,29.792430727621877,0,0,0
3,15,30.301154615817154,0,0,0
3,16,29.008783410096783,0,0,0
3,17,29.11921198505121,0,0,0
3,18,30.063175510376993,0,0,0
3,19,30.063175510376993,0,0,0
3,20,29.514567189572972,0,0,0
3,21,29.546912015265775,0,0,0
3,22,29.663276795546096,0,0,0
3,23,29.58571358758803,0,0,0
3,24,29.55337986932153,0,0,0
3,25,29.7988845567844,0,0,0
3,26,29.449849736337057,0,0,0
3,27,29.55984735316065,0,0,0
3,28,29.714956060872794,0,0,0
3,29,28.761550234484105,0,0,0
3,30,28.8657147199645,0,0,0
3,31,29.086744238229414,0,0,0
3,32,28.702915215821633,0,0,0
3,33,28.226183212253204,0,0,0
3,34,28.441943588172705,0,0,0
3,35,30.41032949628135,0,0,0
3,36,30.050297552561346,0,0,0
3,37,29.404525435866617,0,0,0
3,38,30.41032949628135,0,0,0
3,39,30.557870160418076,0,0,0
3,40,29.81824383724836,0,0,0
3,41,29.041273652960513,0,0,0
3,42,30.820404572346717,0,0,0
3,43,29.824696195265687,0,0,0
3,44,28.533352795578935,0,0,0
3,45,28.40927935248783,0,0,0
3,46,29.96655516857618,0,0,0
3,47,30.577100509575246,0,0,0
3,48,29.908543417102635,0,0,0
3,49,29.55337986932153,0,0,0
3,50,30.243313679641403,0,0,0
3,51,30.61555147363464,0,0,0
3,52,30.095364011800598,0,0,0
3,53,30.056736714190095,0,0,0
3,54,30.845985369299115,0,0,0
3,55,29.650353288770305,0,0,0
3,56,29.7988845567844,0,0,0
3,57,29.96011088439036,0,0,0
3,58,30.60914388054948,0,0,0
3,59,30.820404572346717,0,0,0
3,60,29.73432970053483,0,0,0
3,61,29.630965258772562,0,0,0
3,62,30.474501107233152,0,0,0
3,63,30.865167206648323,0,0,0
3,64,30.602735927173512,0,0,0
3,65,30.692414509500566,0,0,0
3,66,32.70443837754067,0,0,0
3,67,30.487331089061,0,0,0
3,68,29.895647883103038,0,0,0
3,69,30.076052006666885,0,0,0
3,70,30.030977874417033,0,0,0
3,71,30.191874784458264,0,0,0
3,72,30.179011420133236,0,0,0
3,73,29.66973799515199,0,0,0
3,74,29.76661173096562,0,0,0
3,75,29.68911937958029,0,0,0
3,76,29.469268867170854,0,0,0
3,77,29.287893563440605,0,0,0
3,78,29.29437627706119,0,0,0
3,79,29.3332647341893,0,0,0
4,0,28.618166056373013,0,2,0
4,1,28.71594786756833,0,2,2
4,2,29.054267123579052,0,2,0
4,3,29.430427264628293,1,1,3
4,4,29.70203845782322,2,1,2
4,5,30.416748285996164,2,1,0
4,6,30.90352121869489,0,2,1
4,7,30.500159625213087,1,1,2
4,8,29.76015606149366,2,1,2
4,9,29.65681522677278,0,1,2
4,10,30.140412582175486,1,0,4
4,11,29.624501843237738,1,1,2
4,12,29.034776354950452,1,1,1
4,13,29.15816092679364,1,1,1
4,14,30.043858025429984,0,1,1
4,15,30.686011235292654,0,1,3
4,16,29.080249564977862,0,2,1
4,17,29.080249564977862,1,1,1
4,18,29.779521965417473,1,1,4
4,19,29.727872189220534,1,1,2
4,20,29.55337986932153,2,1,1
4,21,29.611573903494786,2,0,0
4,22,29.7988845567844,1,1,1
4,23,29.611573903494786,1,1,1
4,24,29.307340586252963,0,1,1
